airline,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price,month,day
IndiGo,Banglore,New Delhi,evening,mid_night,10200,0,No info,3897,3,24
Air India,Kolkata,Banglore,mid_night,afternoon,26700,2,No info,7662,5,1
Jet Airways,Delhi,Cochin,morning,mid_night,68400,2,No info,13882,6,9
IndiGo,Kolkata,Banglore,evening,evening,19500,1,No info,6218,5,12
IndiGo,Banglore,New Delhi,afternoon,evening,17100,1,No info,13302,3,1
SpiceJet,Kolkata,Banglore,morning,morning,8700,0,No info,3873,6,24
Jet Airways,Banglore,New Delhi,evening,morning,55800,1,In-flight meal not included,11087,3,12
Jet Airways,Banglore,New Delhi,morning,mid_night,75900,1,No info,22270,3,1
Jet Airways,Banglore,New Delhi,morning,morning,91800,1,In-flight meal not included,11087,3,12
Multiple carriers,Delhi,Cochin,morning,evening,28200,1,No info,8625,5,27
Air India,Delhi,Cochin,morning,evening,47700,1,No info,8907,6,1
IndiGo,Kolkata,Banglore,evening,evening,9300,0,No info,4174,4,18
Air India,Chennai,Kolkata,morning,afternoon,8100,0,No info,4667,6,24
Jet Airways,Kolkata,Banglore,evening,morning,43800,1,In-flight meal not included,9663,5,9
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4804,4,24
Air India,Delhi,Cochin,afternoon,evening,95700,2,No info,14011,3,3
SpiceJet,Delhi,Cochin,morning,afternoon,16200,1,No info,5830,4,15
Jet Airways,Delhi,Cochin,afternoon,afternoon,81300,1,In-flight meal not included,10262,6,12
Air India,Delhi,Cochin,evening,evening,82800,2,No info,13381,6,12
Jet Airways,Delhi,Cochin,afternoon,afternoon,74100,1,In-flight meal not included,12898,5,27
GoAir,Delhi,Cochin,afternoon,evening,18600,1,No info,19495,3,6
Air India,Banglore,New Delhi,evening,afternoon,55200,1,No info,6955,3,21
IndiGo,Banglore,Delhi,mid_night,morning,10200,0,No info,3943,4,3
IndiGo,Banglore,Delhi,evening,evening,10500,0,No info,4823,5,1
Jet Airways,Kolkata,Banglore,evening,morning,48000,1,In-flight meal not included,7757,5,6
Jet Airways,Delhi,Cochin,evening,afternoon,54600,2,No info,13292,6,9
IndiGo,Delhi,Cochin,evening,mid_night,20700,1,No info,8238,6,1
GoAir,Delhi,Cochin,morning,afternoon,21300,1,No info,7682,5,15
Vistara,Banglore,Delhi,morning,afternoon,10200,0,No info,4668,6,18
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,3687,6,15
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,3687,6,18
Air India,Kolkata,Banglore,morning,evening,48300,2,No info,13227,5,1
IndiGo,Banglore,Delhi,mid_night,morning,10200,0,No info,4423,4,6
Jet Airways,Delhi,Cochin,afternoon,afternoon,79200,2,In-flight meal not included,10919,6,15
Jet Airways,Delhi,Cochin,morning,afternoon,19800,1,In-flight meal not included,12373,5,18
IndiGo,Delhi,Cochin,morning,evening,37500,1,No info,5894,6,27
SpiceJet,Kolkata,Banglore,afternoon,evening,18900,1,No info,4649,5,21
Air India,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,6245,5,18
Jet Airways,Banglore,New Delhi,morning,afternoon,22500,1,No info,19225,3,6
Jet Airways,Delhi,Cochin,morning,evening,42900,1,No info,14924,6,3
Multiple carriers,Delhi,Cochin,morning,evening,39900,1,No info,9646,5,21
Air India,Banglore,New Delhi,morning,afternoon,30600,1,No info,8714,3,15
Jet Airways,Delhi,Cochin,evening,evening,79500,1,In-flight meal not included,12373,5,18
Air Asia,Banglore,Delhi,morning,afternoon,9900,0,No info,3383,5,6
Multiple carriers,Delhi,Cochin,morning,evening,43200,1,No info,13062,3,21
SpiceJet,Banglore,New Delhi,mid_night,morning,10200,0,No check-in baggage included,3527,3,24
IndiGo,Banglore,Delhi,mid_night,morning,10200,0,No info,3943,5,27
Air India,Chennai,Kolkata,morning,afternoon,8100,0,No info,4667,5,3
Air India,Kolkata,Banglore,evening,morning,57900,1,No info,6117,5,15
Jet Airways,Delhi,Cochin,evening,evening,71700,2,In-flight meal not included,11150,6,27
Jet Airways,Delhi,Cochin,morning,afternoon,11700,0,In-flight meal not included,7202,3,9
Jet Airways,Kolkata,Banglore,morning,morning,91200,1,No info,12121,5,1
IndiGo,Banglore,New Delhi,evening,mid_night,10200,0,No info,4377,3,24
IndiGo,Banglore,Delhi,evening,mid_night,10800,0,No info,3943,6,18
Air Asia,Banglore,Delhi,evening,mid_night,10200,0,No info,4483,4,3
Jet Airways,Kolkata,Banglore,evening,afternoon,58500,1,No info,14231,3,24
Air India,Banglore,New Delhi,morning,evening,54300,2,No info,17345,3,1
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,7414,3,6
Multiple carriers,Delhi,Cochin,evening,mid_night,23400,1,No info,8073,5,6
Vistara,Mumbai,Hyderabad,afternoon,afternoon,90300,1,No info,12395,3,6
Air India,Kolkata,Banglore,morning,evening,44700,1,No info,8366,6,6
Air India,Delhi,Cochin,morning,morning,98400,1,No info,5117,4,3
Multiple carriers,Delhi,Cochin,morning,evening,36900,1,No info,12524,6,3
IndiGo,Delhi,Cochin,afternoon,mid_night,37800,1,No info,7191,5,15
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,3687,5,24
IndiGo,Delhi,Cochin,morning,evening,37500,1,No info,5894,6,24
Vistara,Banglore,Delhi,morning,afternoon,10200,0,No info,5403,4,24
Air India,Mumbai,Hyderabad,afternoon,afternoon,5400,0,No info,3625,5,6
Air India,Delhi,Cochin,mid_night,evening,48000,2,No info,10861,5,21
IndiGo,Chennai,Kolkata,afternoon,afternoon,8100,0,No info,6297,3,12
Jet Airways,Mumbai,Hyderabad,morning,morning,5100,0,No info,5678,6,1
Jet Airways,Banglore,New Delhi,mid_night,morning,95400,1,In-flight meal not included,9134,3,9
Multiple carriers,Delhi,Cochin,morning,evening,26400,1,In-flight meal not included,10791,6,24
Jet Airways,Delhi,Cochin,evening,afternoon,48600,2,No info,12819,6,24
