Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Dep_Time_Cat,Arrival_Time_Cat,Datetime_Dep,Datetime_Arrival
IndiGo,Banglore,New Delhi,BLR → DEL,10200,0,No info,3897,evening,mid_night,2019-03-24 22:20:00,2019-03-24 01:10:00
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,26700,2,No info,7662,mid_night,afternoon,2019-01-05 05:50:00,2019-01-05 13:15:00
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,68400,2,No info,13882,morning,mid_night,2019-09-06 09:25:00,2019-09-06 04:25:00
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,19500,1,No info,6218,evening,evening,2019-12-05 18:05:00,2019-12-05 23:30:00
IndiGo,Banglore,New Delhi,BLR → NAG → DEL,17100,1,No info,13302,afternoon,evening,2019-01-03 16:50:00,2019-01-03 21:35:00
SpiceJet,Kolkata,Banglore,CCU → BLR,8700,0,No info,3873,morning,morning,2019-06-24 09:00:00,2019-06-24 11:25:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,55800,1,In-flight meal not included,11087,evening,morning,2019-12-03 18:55:00,2019-12-03 10:25:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,75900,1,No info,22270,morning,mid_night,2019-01-03 08:00:00,2019-01-03 05:05:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,91800,1,In-flight meal not included,11087,morning,morning,2019-12-03 08:55:00,2019-12-03 10:25:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,28200,1,No info,8625,morning,evening,2019-05-27 11:25:00,2019-05-27 19:15:00
Air India,Delhi,Cochin,DEL → BLR → COK,47700,1,No info,8907,morning,evening,2019-01-06 09:45:00,2019-01-06 23:00:00
IndiGo,Kolkata,Banglore,CCU → BLR,9300,0,No info,4174,evening,evening,2019-04-18 20:20:00,2019-04-18 22:55:00
Air India,Chennai,Kolkata,MAA → CCU,8100,0,No info,4667,morning,afternoon,2019-06-24 11:40:00,2019-06-24 13:55:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,43800,1,In-flight meal not included,9663,evening,morning,2019-09-05 21:10:00,2019-09-05 09:20:00
IndiGo,Kolkata,Banglore,CCU → BLR,9300,0,No info,4804,afternoon,evening,2019-04-24 17:15:00,2019-04-24 19:50:00
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,95700,2,No info,14011,afternoon,evening,2019-03-03 16:40:00,2019-03-03 19:15:00
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,16200,1,No info,5830,morning,afternoon,2019-04-15 08:45:00,2019-04-15 13:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,81300,1,In-flight meal not included,10262,afternoon,afternoon,2019-12-06 14:00:00,2019-12-06 12:35:00
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,82800,2,No info,13381,evening,evening,2019-12-06 20:15:00,2019-12-06 19:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,74100,1,In-flight meal not included,12898,afternoon,afternoon,2019-05-27 16:00:00,2019-05-27 12:35:00
GoAir,Delhi,Cochin,DEL → BOM → COK,18600,1,No info,19495,afternoon,evening,2019-06-03 14:10:00,2019-06-03 19:20:00
Air India,Banglore,New Delhi,BLR → COK → DEL,55200,1,No info,6955,evening,afternoon,2019-03-21 22:00:00,2019-03-21 13:20:00
IndiGo,Banglore,Delhi,BLR → DEL,10200,0,No info,3943,mid_night,morning,2019-03-04 04:00:00,2019-03-04 06:50:00
IndiGo,Banglore,Delhi,BLR → DEL,10500,0,No info,4823,evening,evening,2019-01-05 18:55:00,2019-01-05 21:50:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,48000,1,In-flight meal not included,7757,evening,morning,2019-06-05 18:55:00,2019-06-05 08:15:00
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,54600,2,No info,13292,evening,afternoon,2019-09-06 21:25:00,2019-09-06 12:35:00
IndiGo,Delhi,Cochin,DEL → LKO → COK,20700,1,No info,8238,evening,mid_night,2019-01-06 21:50:00,2019-01-06 03:35:00
GoAir,Delhi,Cochin,DEL → BOM → COK,21300,1,No info,7682,morning,afternoon,2019-05-15 07:00:00,2019-05-15 12:55:00
Vistara,Banglore,Delhi,BLR → DEL,10200,0,No info,4668,morning,afternoon,2019-06-18 09:45:00,2019-06-18 12:35:00
Vistara,Chennai,Kolkata,MAA → CCU,8100,0,No info,3687,morning,morning,2019-06-15 07:05:00,2019-06-15 09:20:00
Vistara,Chennai,Kolkata,MAA → CCU,8100,0,No info,3687,morning,morning,2019-06-18 07:05:00,2019-06-18 09:20:00
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,48300,2,No info,13227,morning,evening,2019-01-05 09:50:00,2019-01-05 23:15:00
IndiGo,Banglore,Delhi,BLR → DEL,10200,0,No info,4423,mid_night,morning,2019-06-04 04:00:00,2019-06-04 06:50:00
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,79200,2,In-flight meal not included,10919,afternoon,afternoon,2019-06-15 14:35:00,2019-06-15 12:35:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19800,1,In-flight meal not included,12373,morning,afternoon,2019-05-18 07:05:00,2019-05-18 12:35:00
IndiGo,Delhi,Cochin,DEL → BOM → COK,37500,1,No info,5894,morning,evening,2019-06-27 10:35:00,2019-06-27 21:00:00
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,18900,1,No info,4649,afternoon,evening,2019-05-21 15:05:00,2019-05-21 20:20:00
Air India,Kolkata,Banglore,CCU → BLR,9000,0,No info,6245,afternoon,afternoon,2019-05-18 14:15:00,2019-05-18 16:45:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,22500,1,No info,19225,morning,afternoon,2019-06-03 07:00:00,2019-06-03 13:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,42900,1,No info,14924,morning,evening,2019-03-06 07:05:00,2019-03-06 19:00:00
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,39900,1,No info,9646,morning,evening,2019-05-21 07:05:00,2019-05-21 18:10:00
Air India,Banglore,New Delhi,BLR → BOM → DEL,30600,1,No info,8714,morning,afternoon,2019-03-15 06:45:00,2019-03-15 15:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,79500,1,In-flight meal not included,12373,evening,evening,2019-05-18 20:55:00,2019-05-18 19:00:00
Air Asia,Banglore,Delhi,BLR → DEL,9900,0,No info,3383,morning,afternoon,2019-06-05 11:10:00,2019-06-05 13:55:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,43200,1,No info,13062,morning,evening,2019-03-21 09:00:00,2019-03-21 21:00:00
SpiceJet,Banglore,New Delhi,BLR → DEL,10200,0,No check-in baggage included,3527,mid_night,morning,2019-03-24 05:45:00,2019-03-24 08:35:00
IndiGo,Banglore,Delhi,BLR → DEL,10200,0,No info,3943,mid_night,morning,2019-05-27 04:00:00,2019-05-27 06:50:00
